7.148080808080808663e-04,7.477676767676761727e-04,7.518888888888890709e-04,7.418282828282828610e-04
7.788888888888891851e-04,6.984444444444444598e-04,7.037777777777777782e-04,7.571717171717172543e-04
6.172727272727272655e-04,7.958080808080808836e-04,8.093737373737375403e-04,8.384848484848480459e-04
9.205555555555555367e-04,9.863535353535353000e-04,9.663636363636367299e-04,1.014707070707070516e-03
9.973535353535356758e-04,1.001323232323232410e-03,1.009969696969697118e-03,9.472020202020208987e-04
1.084767676767676992e-03,1.135838383838383946e-03,1.209595959595959492e-03,1.275505050505050791e-03
1.597595959595960033e-03,1.593151515151515962e-03,1.256131313131313154e-03,1.350868686868686788e-03
1.944787878787879176e-03,2.007262626262625634e-03,1.982545454545454715e-03,2.005999999999999971e-03
2.952171717171716940e-03,3.305010101010101044e-03,3.248747474747475453e-03,3.216565656565656666e-03
3.689262626262626403e-03,3.880707070707069273e-03,3.847939393939395734e-03,3.987828282828283048e-03
4.547161616161617473e-03,4.825393939393940977e-03,4.760060606060607068e-03,5.011575757575758086e-03
7.793232323232322616e-03,7.576040404040407933e-03,7.649707070707069921e-03,7.119898989898986071e-03
8.464121212121209284e-03,8.570020202020200289e-03,8.620020202020201722e-03,8.637797979797979739e-03
9.110404040404040255e-03,9.620484848484850415e-03,9.184727272727273226e-03,9.286171717171713691e-03
9.238393939393942100e-03,9.656656565656564564e-03,9.168080808080805721e-03,9.099111111111111636e-03
9.377919191919192529e-03,9.248414141414144224e-03,9.434252525252522642e-03,9.465373737373739341e-03
1.062341414141414545e-02,1.085236363636364262e-02,1.017249494949495035e-02,1.014184848484848273e-02
1.033052525252525083e-02,1.060629292929292714e-02,1.036642424242424469e-02,1.056211111111111239e-02
9.726323232323233828e-03,1.135375757575757261e-02,1.109445454545454797e-02,1.044544444444444470e-02
1.531905050505049347e-02,1.616321212121211992e-02,1.509669696969696655e-02,1.557800000000000157e-02
