3.252600000000000456e-03,3.186660000000000447e-03,3.157890000000000003e-03,3.117759999999999802e-03
3.134100000000000340e-03,3.187899999999999588e-03,3.258590000000000011e-03,3.250699999999999597e-03
3.170709999999999761e-03,3.102850000000000313e-03,3.200999999999999852e-03,3.247070000000000772e-03
3.145940000000000281e-03,3.171830000000000049e-03,3.202760000000000242e-03,3.251779999999999688e-03
2.956619999999999648e-03,3.083840000000000452e-03,3.183080000000000458e-03,3.198350000000000411e-03
3.110779999999999188e-03,3.143630000000000556e-03,3.228140000000000436e-03,3.011069999999999372e-03
3.070729999999999814e-03,3.098640000000000162e-03,3.185160000000000248e-03,3.246100000000000027e-03
3.018039999999999612e-03,2.943890000000000222e-03,2.998030000000000053e-03,3.240769999999999589e-03
3.013049999999999756e-03,3.101919999999999764e-03,3.169920000000000116e-03,2.809240000000000608e-03
2.821050000000000293e-03,2.809549999999999634e-03,2.839909999999999744e-03,2.933210000000000331e-03
2.553129999999999376e-03,2.332369999999999843e-03,2.613099999999999711e-03,2.789199999999999926e-03
2.187510000000000149e-03,2.141650000000000151e-03,2.053569999999999788e-03,2.161740000000000536e-03
1.987650000000000094e-03,2.007210000000000591e-03,1.989199999999999996e-03,2.040600000000000053e-03
1.756090000000000081e-03,1.819380000000000216e-03,1.995879999999999790e-03,2.000810000000000002e-03
1.929190000000000115e-03,1.855969999999999755e-03,2.045680000000000241e-03,1.866470000000000065e-03
1.806560000000000023e-03,2.079240000000000428e-03,1.918159999999999917e-03,1.853129999999999708e-03
1.838130000000000102e-03,1.752939999999999490e-03,1.908929999999999872e-03,1.917480000000000052e-03
1.784870000000000250e-03,1.797329999999999978e-03,1.832569999999999946e-03,1.855289999999999891e-03
2.092710000000000230e-03,1.764259999999999700e-03,1.870300000000000304e-03,1.837479999999999843e-03
1.763200000000000357e-03,1.778250000000000100e-03,1.851910000000000014e-03,1.448120000000000006e-03
